area_code,ca_name
S12000005,Clackmannanshire
S12000006,Dumfries and Galloway
S12000008,East Ayrshire
S12000010,East Lothian
S12000011,East Renfrewshire
S12000011,East Renfrewshire
S12000013,Na h-Eileanan Siar
S12000014,Falkirk
S12000015,Fife
S12000017,Highland
S12000018,Inverclyde
S12000018,Inverclyde
S12000019,Midlothian
S12000020,Moray
S12000021,North Ayrshire
S12000023,Orkney Islands
S12000024,Perth and Kinross
S12000026,Scottish Borders
S12000027,Shetland Islands
S12000028,South Ayrshire
S12000029,South Lanarkshire
S12000029,South Lanarkshire
S12000030,Stirling
S12000033,Aberdeen City
S12000034,Aberdeenshire
S12000035,Argyll and Bute
S12000036,City of Edinburgh
S12000038,Renfrewshire
S12000038,Renfrewshire
S12000039,West Dunbartonshire
S12000039,West Dunbartonshire
S12000040,West Lothian
S12000041,Angus
S12000041,Angus
S12000042,Dundee City
S12000042,Dundee City
S12000044,North Lanarkshire
S12000045,East Dunbartonshire
S12000045,East Dunbartonshire
S12000046,Glasgow City
S12000047,Fife
S12000048,Perth and Kinross
S12000049,Glasgow City
S12000050,North Lanarkshire
S08000019,Clackmannanshire
S08000017,Dumfries and Galloway
S08000015,East Ayrshire
S08000024,East Lothian
S08000021,East Renfrewshire
S08000031,East Renfrewshire
S08000028,Na h-Eileanan Siar
S08000019,Falkirk
S08000018,Fife
S08000022,Highland
S08000021,Inverclyde
S08000031,Inverclyde
S08000024,Midlothian
S08000020,Moray
S08000015,North Ayrshire
S08000025,Orkney Islands
S08000027,Perth and Kinross
S08000016,Scottish Borders
S08000026,Shetland Islands
S08000015,South Ayrshire
S08000023,South Lanarkshire
S08000032,South Lanarkshire
S08000019,Stirling
S08000020,Aberdeen City
S08000020,Aberdeenshire
S08000022,Argyll and Bute
S08000024,City of Edinburgh
S08000021,Renfrewshire
S08000031,Renfrewshire
S08000021,West Dunbartonshire
S08000031,West Dunbartonshire
S08000024,West Lothian
S08000027,Angus
S08000030,Angus
S08000027,Dundee City
S08000030,Dundee City
S08000023,North Lanarkshire
S08000021,East Dunbartonshire
S08000031,East Dunbartonshire
S08000021,Glasgow City
S08000029,Fife
S08000030,Perth and Kinross
S08000031,Glasgow City
S08000032,North Lanarkshire
S16000074,Aberdeen Central
S16000075,Aberdeen Donside
S16000076,Aberdeen South and North Kincardine
S16000077,Aberdeenshire East
S16000078,Aberdeenshire West
S16000079,Airdrie and Shotts
S16000080,Almond Valley
S16000081,Angus North and Mearns
S16000082,Angus South
S16000083,Argyll and Bute
S16000084,Ayr
S16000085,Banffshire and Buchan Coast
S16000086,"Caithness, Sutherland and Ross"
S16000087,"Carrick, Cumnock and Doon Valley"
S16000088,Clackmannanshire and Dunblane
S16000089,Clydebank and Milngavie
S16000090,Clydesdale
S16000091,Coatbridge and Chryston
S16000092,Cowdenbeath
S16000093,Cumbernauld and Kilsyth
S16000094,Cunninghame North
S16000095,Cunninghame South
S16000096,Dumbarton
S16000097,Dumfriesshire
S16000098,Dundee City East
S16000099,Dundee City West
S16000100,Dunfermline
S16000101,East Kilbride
S16000102,East Lothian
S16000103,Eastwood
S16000104,Edinburgh Central
S16000105,Edinburgh Eastern
S16000106,Edinburgh Northern and Leith
S16000107,Edinburgh Pentlands
S16000108,Edinburgh Southern
S16000109,Edinburgh Western
S16000110,Na h-Eileanan an Iar
S16000111,"Ettrick, Roxburgh and Berwickshire"
S16000112,Falkirk East
S16000113,Falkirk West
S16000114,Galloway and West Dumfries
S16000115,Glasgow Anniesland
S16000116,Glasgow Cathcart
S16000117,Glasgow Kelvin
S16000118,Glasgow Maryhill and Springburn
S16000119,Glasgow Pollok
S16000121,Glasgow Shettleston
S16000122,Glasgow Southside
S16000123,Greenock and Inverclyde
S16000124,"Hamilton, Larkhall and Stonehouse"
S16000125,Inverness and Nairn
S16000126,Kilmarnock and Irvine Valley
S16000127,Kirkcaldy
S16000128,Linlithgow
S16000129,Mid Fife and Glenrothes
S16000130,Midlothian North and Musselburgh
S16000131,"Midlothian South, Tweeddale and Lauderdale"
S16000132,Moray
S16000133,Motherwell and Wishaw
S16000134,North East Fife
S16000135,Orkney Islands
S16000136,Paisley
S16000137,Perthshire North
S16000138,Perthshire South and Kinross-shire
S16000139,Renfrewshire North and West
S16000140,Renfrewshire South
S16000141,Rutherglen
S16000142,Shetland Islands
S16000143,"Skye, Lochaber and Badenoch"
S16000144,Stirling
S16000146,Uddingston and Bellshill
S16000147,Glasgow Provan
S16000148,Strathkelvin and Bearsden
